Time,Concentration
0.0,0.0
1.0006949270326615,0.2001389854065323
2.001389854065323,0.4002779708130646
3.0020847810979845,0.6004169562195969
4.002779708130646,0.8005559416261292
5.0034746351633075,1.0
6.004169562195969,1.0
7.0048644892286305,1.0
8.005559416261292,1.0
9.006254343293953,1.0
10.006949270326615,1.0
11.007644197359276,1.0
12.008339124391938,1.0
13.0090340514246,1.0
14.009728978457261,1.0
15.010423905489922,1.0
16.011118832522584,1.0
17.011813759555245,1.0
18.012508686587907,1.0
19.01320361362057,1.0
20.01389854065323,1.0
21.01459346768589,1.0
22.015288394718553,1.0
23.015983321751214,1.0
24.016678248783876,1.0
25.017373175816537,1.0
26.0180681028492,1.0
27.01876302988186,1.0
28.019457956914522,1.0
29.020152883947183,1.0
30.020847810979845,1.0
31.021542738012506,1.0
32.02223766504517,1.0
33.02293259207783,1.0
34.02362751911049,1.0
35.02432244614315,1.0
36.025017373175814,1.0
37.025712300208475,1.0
38.02640722724114,1.0
39.0271021542738,1.0
40.02779708130646,1.0
41.02849200833912,1.0
42.02918693537178,1.0
43.029881862404444,1.0
44.030576789437106,1.0
45.03127171646977,1.0
46.03196664350243,1.0
47.03266157053509,1.0
48.03335649756775,1.0
49.03405142460041,1.0
50.034746351633075,1.0
51.035441278665736,1.0
52.0361362056984,1.0
53.03683113273106,1.0
54.03752605976372,1.0
55.03822098679638,1.0
56.038915913829044,1.0
57.039610840861705,1.0
58.04030576789437,1.0
59.04100069492703,1.0
60.04169562195969,1.0
61.04239054899235,1.0
62.04308547602501,1.0
63.043780403057674,1.0
64.04447533009034,1.0
65.045170257123,1.0
66.04586518415566,1.0
67.04656011118831,1.0
68.04725503822098,1.0
69.04794996525365,1.0
70.0486448922863,1.0
71.04933981931896,1.0
72.05003474635163,1.0
73.0507296733843,1.0
74.05142460041695,1.0
75.0521195274496,1.0
76.05281445448227,1.0
77.05350938151494,1.0
78.0542043085476,1.0
79.05489923558025,1.0
80.05559416261292,1.0
81.05628908964559,1.0
82.05698401667824,1.0
83.0576789437109,1.0
84.05837387074357,1.0
85.05906879777623,1.0
86.05976372480889,1.0
87.06045865184154,1.0
88.06115357887421,1.0
89.06184850590688,1.0
90.06254343293953,1.0
91.06323835997219,1.0
92.06393328700486,1.0
93.06462821403753,1.0
94.06532314107018,1.0
95.06601806810284,1.0
96.0667129951355,1.0
97.06740792216817,1.0
98.06810284920083,1.0
99.06879777623348,1.0
100.06949270326615,1.0
101.07018763029882,1.0
102.07088255733147,1.0
103.07157748436413,1.0
104.0722724113968,1.0
105.07296733842946,1.0
106.07366226546212,1.0
107.07435719249477,1.0
108.07505211952744,1.0
109.07574704656011,1.0
110.07644197359276,1.0
111.07713690062542,1.0
112.07783182765809,1.0
113.07852675469076,1.0
114.07922168172341,1.0
115.07991660875606,1.0
116.08061153578873,1.0
117.0813064628214,1.0
118.08200138985406,1.0
119.08269631688671,1.0
120.08339124391938,1.0
121.08408617095205,1.0
122.0847810979847,1.0
123.08547602501736,1.0
124.08617095205003,1.0
125.0868658790827,1.0
126.08756080611535,1.0
127.088255733148,1.0
128.08895066018067,1.0
129.08964558721334,1.0
130.090340514246,1.0
131.09103544127865,1.0
132.09173036831132,1.0
133.092425295344,1.0
134.09312022237663,1.0
135.0938151494093,1.0
136.09451007644196,1.0
137.09520500347463,1.0
138.0958999305073,1.0
139.09659485753994,1.0
140.0972897845726,1.0
141.09798471160528,1.0
142.09867963863792,1.0
143.0993745656706,1.0
144.10006949270326,1.0
145.10076441973592,1.0
146.1014593467686,1.0
147.10215427380123,1.0
148.1028492008339,1.0
149.10354412786657,1.0
150.1042390548992,1.0
151.10493398193188,1.0
152.10562890896455,1.0
153.10632383599722,1.0
154.10701876302988,1.0
155.10771369006252,1.0
156.1084086170952,1.0
157.10910354412786,1.0
158.1097984711605,1.0
159.11049339819317,1.0
160.11118832522584,1.0
161.1118832522585,1.0
162.11257817929118,1.0
163.11327310632382,1.0
164.11396803335649,1.0
165.11466296038915,1.0
166.1153578874218,1.0
167.11605281445446,1.0
168.11674774148713,1.0
169.1174426685198,1.0
170.11813759555247,1.0
171.1188325225851,1.0
172.11952744961778,1.0
173.12022237665045,1.0
174.1209173036831,1.0
175.12161223071575,1.0
176.12230715774842,1.0
177.1230020847811,1.0
178.12369701181376,1.0
179.1243919388464,1.0
180.12508686587907,1.0
181.12578179291174,1.0
182.12647671994438,1.0
183.12717164697705,1.0
184.12786657400972,1.0
185.12856150104238,1.0
186.12925642807505,1.0
187.1299513551077,1.0
188.13064628214036,1.0
189.13134120917303,1.0
190.13203613620567,1.0
191.13273106323834,1.0
192.133425990271,1.0
193.13412091730368,1.0
194.13481584433634,1.0
195.13551077136898,1.0
196.13620569840165,1.0
197.13690062543432,1.0
198.13759555246696,1.0
199.13829047949963,1.0
200.1389854065323,1.0
201.13968033356497,1.0
202.14037526059764,1.0
203.14107018763028,1.0
204.14176511466295,1.0
205.1424600416956,1.0
206.14315496872825,1.0
207.14384989576092,1.0
208.1445448227936,1.0
209.14523974982626,1.0
210.14593467685893,1.0
211.14662960389157,1.0
212.14732453092424,1.0
213.1480194579569,1.0
214.14871438498955,1.0
215.14940931202221,1.0
216.15010423905488,1.0
217.15079916608755,1.0
218.15149409312022,1.0
219.15218902015286,1.0
220.15288394718553,1.0
221.1535788742182,1.0
222.15427380125084,1.0
223.1549687282835,1.0
224.15566365531618,1.0
225.15635858234884,1.0
226.1570535093815,1.0
227.15774843641415,1.0
228.15844336344682,1.0
229.1591382904795,1.0
230.15983321751213,1.0
231.1605281445448,1.0
232.16122307157747,1.0
233.16191799861014,1.0
234.1626129256428,1.0
235.16330785267544,1.0
236.1640027797081,1.0
237.16469770674078,1.0
238.16539263377342,1.0
239.1660875608061,1.0
240.16678248783876,1.0
241.16747741487143,1.0
242.1681723419041,1.0
243.16886726893674,1.0
244.1695621959694,1.0
245.17025712300207,1.0
246.1709520500347,1.0
247.17164697706738,1.0
248.17234190410005,1.0
